Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Pledge To,Pledge Date,Loan Status,Outstanding Loan Value,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value,delinquency_bucket,risk_score,advance_rate
Abaco Financial,CLIAB000198,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1700-001,DSB1700-001,factoring,2025-09-30,25740.42,22535.51,1658.64,81.65,USD,0.3177,120,days,bullet,1,,,Current,12661.2,,,,,,,early_delinquent,0.07605363498817959,0.8754911536020002
Abaco Financial,CLIAB000199,"SERVICIOS TECNICOS MEDICOS 2, S.A. DE C.V.","HOSPITAL NACIONAL 002 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1701-002,DSB1701-002,factoring,2025-09-29,8958.2,14807.55,818.82,256.51,USD,0.3504,90,days,bullet,1,,,Current,24839.65,,,,,,,early_delinquent,0.17520017009456257,1.0
Abaco Financial,CLIAB000200,"SERVICIOS TECNICOS MEDICOS 3, S.A. DE C.V.","HOSPITAL NACIONAL 003 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1702-003,DSB1702-003,factoring,2025-09-28,36685.91,28034.48,2086.72,35.67,USD,0.3088,30,days,bullet,1,,,Complete,14305.6,,,,,,,early_delinquent,0.05402782222222224,0.7641756739849167
Abaco Financial,CLIAB000201,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1703-004,DSB1703-004,factoring,2025-09-27,7211.81,31803.58,1751.19,270.29,USD,0.357,30,days,bullet,1,,,Current,47773.44,,,,,,,early_delinquent,0.2156871515839243,1.0
Abaco Financial,CLIAB000202,"SERVICIOS TECNICOS MEDICOS 5, S.A. DE C.V.","HOSPITAL NACIONAL 005 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1704-005,DSB1704-005,factoring,2025-09-26,57839.92,72955.64,624.24,45.69,USD,0.3184,90,days,bullet,1,,,Complete,33342.2,,,,,,,early_delinquent,0.09859633711583925,1.0
Abaco Technologies,CLIAB000203,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1705-006,DSB1705-006,factoring,2025-09-25,18180.74,33773.5,1049.06,77.28,USD,0.3401,90,days,bullet,3,,,Current,10866.18,,,,,,,early_delinquent,0.1382775275177305,1.0
Abaco Technologies,CLIAB000204,KEVIN ENRIQUE CLIENTE 007 MORALES,"HOSPITAL NACIONAL 007 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1706-007,DSB1706-007,factoring,2025-09-24,68281.99,72902.06,505.57,298.81,USD,0.3189,90,days,bullet,1,,,Complete,36551.13,,,,,,,early_delinquent,0.10313505434988181,1.0
Abaco Technologies,CLIAB000205,KEVIN ENRIQUE CLIENTE 008 MORALES,"EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1707-008,DSB1707-008,factoring,2025-09-23,52594.4,25804.98,14.5,119.19,USD,0.3258,120,days,bullet,0,,,Complete,72065.06,,,,,,,current,0.1547778259574467,0.49064120895000224
Abaco Technologies,CLIAB000206,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 009 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1708-009,DSB1708-009,factoring,2025-09-22,59980.7,67914.11,1846.86,79.64,USD,0.3612,120,days,bullet,1,,,Complete,1724.2,,,,,,,early_delinquent,0.18080812434988183,1.0
Abaco Technologies,CLIAB000207,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1709-010,DSB1709-010,factoring,2025-09-21,67325.69,2444.81,1481.96,253.51,USD,0.311,120,days,bullet,1,,,Complete,51029.04,,,,,,,early_delinquent,0.09660232605200941,0.036313181491344534
