Company,Customer ID,Cliente,Pagador,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rabates,True Outstanding Loan Value,True Payment Status
Abaco Financial,CLIAB000001,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB2212-001,2025-11-17,0,58459.78,USD,54060.23,4392.21,6.5,0,0.84,0.84,0,10241.94,Late
Abaco Technologies,CLIAB000002,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",FONDO DE CONSERVACION VIAL,DSB2509-002,2025-10-27,0,15665.55,USD,14095.64,1477.84,81.48,0,10.59,10.59,0,3168.06,Late
Abaco Financial,CLIAB000003,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V.",FONDO DE CONSERVACION VIAL,DSB2011-003,2025-11-23,0,57905.9,USD,56370.07,1475.2,41.08,14.21,5.34,5.34,0,3152.27,Prepayment
Abaco Financial,CLIAB000004,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,DSB1903-004,2025-10-02,0,13220.91,USD,12777.25,333.43,97.55,0,12.68,12.68,0,2730.04,Prepayment
Abaco Financial,CLIAB000004,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,DSB1903-004,2025-09-24,0,12625.05,USD,12226.79,319.07,70.08,0,9.11,9.11,0,3280.5,On Time
Abaco Financial,CLIAB000005,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB2507-005,2025-10-23,0,56178.13,USD,54716.47,1398.64,55.77,0,7.25,7.25,0,2835.76,Prepayment
Abaco Financial,CLIAB000006,"INVERSIONES FINANCIERAS, S.R.L.",ADMINISTRACION NACIONAL DE ACUEDUCTOS Y ALCANTARILLADOS,DSB2305-006,2025-10-17,0,37755.37,USD,33728.01,3977.5,44.12,0,5.74,5.74,0,1809.21,On Time
Abaco Technologies,CLIAB000007,"GRUPO INDUSTRIAL DEL SUR, S.A. DE C.V.",ADMINISTRACION NACIONAL DE ACUEDUCTOS Y ALCANTARILLADOS,DSB2002-007,2026-01-02,0,63616.31,USD,58730.78,4883.18,2.08,0,0.27,0.27,0,12265.45,Late
Abaco Technologies,CLIAB000008,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V.","HOSPITAL NACIONAL ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB2202-008,2026-01-24,0,13143.26,USD,11847.94,1202.84,81.84,0,10.64,10.64,0,4875.21,Prepayment
Abaco Financial,CLIAB000009,"INVERSIONES FINANCIERAS, S.R.L.","HOSPITAL NACIONAL ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB2205-009,2025-12-22,0,37926.91,USD,33915.25,4002.93,7.73,0,1.0,1.0,0,5024.28,Prepayment
Abaco Financial,CLIAB000010,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,DSB1703-010,2026-01-24,730.45,41221.59,USD,37890.02,3284.91,41.29,0,5.37,5.37,0,15694.78,On Time
