Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Pledge To,Pledge Date,Loan Status,Outstanding Loan Value,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value
Abaco Technologies,CLIAB001000,"TRANSPORTES MODERNOS, S.A. DE C.V. 0","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 0",DSB1700-001,DSB1700-001,factoring,2025-09-30,82802.9,65541.17,3084.67,221.33,USD,0.2673,120,days,bullet,10,,,Current,18665.73,,,,,,
Abaco Financial,CLIAB001001,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 1","ASSA COMPAÑIA DE SEGUROS, S.A. 1",DSB1701-002,DSB1701-002,factoring,2025-09-29,89719.92,86881.57,864.74,4421.89,USD,0.1877,90,days,bullet,0,,,Current,20754.66,,,,,,
Abaco Financial,CLIAB001002,"TRANSPORTES MODERNOS, S.A. DE C.V. 2","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 2",DSB1702-003,DSB1702-003,factoring,2025-09-28,14884.66,45935.79,2829.1,3550.8,USD,0.1952,120,days,bullet,0,,,Current,86039.3,,,,,,
Abaco Technologies,CLIAB001003,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 3","ASSA COMPAÑIA DE SEGUROS, S.A. 3",DSB1703-004,DSB1703-004,factoring,2025-09-27,55849.58,25536.12,2866.43,873.91,USD,0.3768,180,days,bullet,0,,,Current,91345.69,,,,,,
Abaco Technologies,CLIAB001004,"TRANSPORTES MODERNOS, S.A. DE C.V. 4","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 4",DSB1704-005,DSB1704-005,factoring,2025-09-26,11749.0,24429.57,2335.27,467.69,USD,0.1612,120,days,bullet,0,,,Current,22002.59,,,,,,
Abaco Financial,CLIAB001005,"TRANSPORTES MODERNOS, S.A. DE C.V. 5",HOSPITAL NACIONAL SAN JUAN DE DIOS 5,DSB1705-006,DSB1705-006,factoring,2025-09-25,67551.77,74855.41,2617.93,925.83,USD,0.2082,120,days,bullet,0,,,Current,47510.29,,,,,,
Abaco Technologies,CLIAB001006,"TRANSPORTES MODERNOS, S.A. DE C.V. 6","ASSA COMPAÑIA DE SEGUROS, S.A. 6",DSB1706-007,DSB1706-007,factoring,2025-09-24,28842.14,81840.31,3821.98,4900.34,USD,0.223,60,days,bullet,0,,,Current,73616.0,,,,,,
Abaco Financial,CLIAB001007,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 7","ASSA COMPAÑIA DE SEGUROS, S.A. 7",DSB1707-008,DSB1707-008,factoring,2025-09-23,66282.84,11422.53,3998.23,2298.22,USD,0.2725,60,days,bullet,10,,,Complete,87958.21,,,,,,
Abaco Technologies,CLIAB001008,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 8",HOSPITAL NACIONAL SAN JUAN DE DIOS 8,DSB1708-009,DSB1708-009,factoring,2025-09-22,72972.47,7589.33,2465.84,3922.56,USD,0.2966,90,days,bullet,0,,,Current,38526.22,,,,,,
Abaco Technologies,CLIAB001009,"TRANSPORTES MODERNOS, S.A. DE C.V. 9","ASSA COMPAÑIA DE SEGUROS, S.A. 9",DSB1709-010,DSB1709-010,factoring,2025-09-21,77096.1,59848.93,3001.97,3185.68,USD,0.2733,180,days,bullet,0,,,Current,52184.93,,,,,,
