Company,Customer ID,Cliente,Pagador,Loan ID,Payment Date,TPV,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value
Abaco Financial,CLIAB000001,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB2212-001,2025-12-31,64302.17,69614.74,USD,64302.17,5224.33,78.09,0,10.15,0,0
Abaco Technologies,CLIAB000002,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",FONDO DE CONSERVACION VIAL,DSB2509-002,2026-01-24,17263.7,19234.25,USD,17263.7,1809.99,142.09,0,18.47,0,0
Abaco Financial,CLIAB000003,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V.",FONDO DE CONSERVACION VIAL,DSB2011-003,2025-11-23,59522.34,61286.63,USD,59522.34,1557.69,182.83,0,23.77,0,0
Abaco Financial,CLIAB000004,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,DSB1903-004,2025-10-03,15507.29,16086.52,USD,15507.29,404.68,152.19,2.58,19.78,0,0
Abaco Financial,CLIAB000005,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB2507-005,2025-10-27,57552.23,59146.02,USD,57552.23,1471.13,108.55,0,14.11,0,0
Abaco Financial,CLIAB000006,"INVERSIONES FINANCIERAS, S.R.L.",ADMINISTRACION NACIONAL DE ACUEDUCTOS Y ALCANTARILLADOS,DSB2305-006,2026-01-15,35537.22,39807.55,USD,35537.22,4190.86,70.33,0,9.14,0,0
Abaco Technologies,CLIAB000007,"GRUPO INDUSTRIAL DEL SUR, S.A. DE C.V.",ADMINISTRACION NACIONAL DE ACUEDUCTOS Y ALCANTARILLADOS,DSB2002-007,2025-12-30,70996.23,76975.53,USD,70996.23,5903.0,67.52,0,8.78,0,0
Abaco Technologies,CLIAB000008,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V.","HOSPITAL NACIONAL ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB2202-008,2026-02-08,16723.15,18487.58,USD,16723.15,1697.79,58.97,0,7.67,0,0
Abaco Financial,CLIAB000009,"INVERSIONES FINANCIERAS, S.R.L.","HOSPITAL NACIONAL ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB2205-009,2026-02-23,38939.53,43758.94,USD,38939.53,4595.93,197.77,0,25.71,0,0
Abaco Financial,CLIAB000010,"SERVICIOS PROFESIONALES INTEGRADOS, S.A. DE C.V.",INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,DSB1703-010,2026-01-27,53584.8,58392.64,USD,53584.8,4645.58,143.59,0,18.67,0,0
